ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position
BUS1062,simple,FABBUS1062,Uppada Silk Saree,1,0,visible,UPPADA PURE SILK ALLOVER CHECKS BUTA,"Uppada pure silk model allover checks buta khaddi border, Body color yellow,Blouse color redish pink & thread design pallu",,,taxable,,1,,,0,0,,,,,1,,,2850,"Uppada, Saree",,,"http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2021/01/BUS1062-1.jpg,http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2021/01/BUS1062-2.jpg,http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2021/01/BUS1062-3.jpg,http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2021/01/BUS1062-4.jpg",,,,,,,,,0
BUS1071,simple,FABBUS1071,Uppada Silk Saree,1,0,visible,UPPADA PURE SILK ALLOVER CHECKS BUTA,"Uppada pure silk model allover checks buta khaddi border, Body color blue,Blouse color red & thread design pallu",,,taxable,,1,,,0,0,,,,,1,,,2850,"Uppada, Saree",,,"http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2021/01/BUS1071-1.jpg,http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2021/01/BUS1071-2.jpg,http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2021/01/BUS1071-3.jpg,http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2021/01/BUS1071-4.jpg",,,,,,,,,0
BUS1070,simple,FABBUS1070,Uppada Silk Saree,1,0,visible,UPPADA PURE SILK ALLOVER CHECKS BUTA,"Uppada pure silk model allover checks buta khaddi border, Body color green,Blouse color pink & thread design pallu",,,taxable,,1,,,0,0,,,,,1,,,2850,"Uppada, Saree",,,"http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2021/01/BUS1070-1.jpg,http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2021/01/BUS1070-2.jpg,http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2021/01/BUS1070-3.jpg,http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2021/01/BUS1070-4.jpg",,,,,,,,,0
BUS1069,simple,FABBUS1069,Uppada Silk Saree,1,0,visible,UPPADA PURE SILK ALLOVER CHECKS BUTA,"Uppada pure silk model allover checks buta khaddi border, Body color pink,Blouse color blue & thread design pallu",,,taxable,,1,,,0,0,,,,,1,,,2850,"Uppada, Saree",,,"http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2021/01/BUS1069-1.jpg,http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2021/01/BUS1069-2.jpg,http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2021/01/BUS1069-3.jpg",,,,,,,,,0
BUS1058,simple,FABBUS1058,Uppada Silk Saree,1,0,visible,UPPADA SILK ALLOVER CHECKS IKKAT DESIGN BORDER,"Uppada silk model allover checks ikkat design border, Body color dark peach,Blouse color blue & plain pallu",,,taxable,,1,,,0,0,,,,,1,,,2200,"Uppada, Saree",,,"http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2021/01/BUS1058-1.jpg,http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2021/01/BUS1058-2.jpg,http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2021/01/BUS1058-3.jpg",,,,,,,,,0
BUS1061,simple,FABBUS1061,Uppada Silk Saree,1,0,visible,UPPADA SILK ALLOVER CHECKS IKKAT DESIGN BORDER,"Uppada silk model allover checks ikkat design border, Body color cream,Blouse color pink & plain pallu",,,taxable,,1,,,0,0,,,,,1,,,2200,"Uppada, Saree",,,"http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2021/01/BUS1061-1.jpg,http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2021/01/BUS1061-2.jpg,http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2021/01/BUS1061-3.jpg",,,,,,,,,0
BUS1060,simple,FABBUS1060,Uppada Silk Saree,1,0,visible,UPPADA SILK ALLOVER CHECKS IKKAT DESIGN BORDER,"Uppada silk model allover checks ikkat design border, Body color green,Blouse color pink & plain pallu",,,taxable,,1,,,0,0,,,,,1,,,2200,"Uppada, Saree",,,"http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2021/01/BUS1060-1.jpg,http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2021/01/BUS1060-2.jpg,http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2021/01/BUS1060-3.jpg",,,,,,,,,0
BUS968,simple,FABBUS968,Uppada Silk Saree,1,0,visible,UPPADA SOFT SILK ALLOVER POCHAMPALLY DESIGN,"Uppada pure soft pattu model allover pochampally design saree, big border, Body color lime, Blouse color pink & pochampally pallu",,,taxable,,1,,,0,0,,,,,1,,,2800,"Uppada, Saree",,,"http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2021/01/BUS968-1.jpg,http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2021/01/BUS968-2.jpg,http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2021/01/BUS968-3.jpg,http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2021/01/BUS968-4.jpg",,,,,,,,,0
BUS1104,simple,FABBUS1104,Uppada Silk Saree,1,0,visible,UPPADA PURE SILK ALLOVER ZARI & RESHAM BUTA,"Uppada pure silk handloom model allover zari & resham buta khaddi border, Body color dark maroon, Blouse color green & rich pallu",,,taxable,,1,,,0,0,,,,,1,,,4250,"Uppada, Saree",,,"http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2021/01/BUS1104-1.jpg,http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2021/01/BUS1104-2.jpg,http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2021/01/BUS1104-3.jpg",,,,,,,,,0
KH412,simple,FABKH412,Kanchi Half Fine Silk Saree,1,0,visible,KANCHI HALF FINE ALLOVER BROCADE,"Kanchi half fine silk saree model allover zari brocade with meena design border, Body color pink blouse color green & rich pallu",,,taxable,,1,,,0,0,,,,,1,,,1650,"Kanchi, Saree",,,"http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2021/01/KH412-1.jpg,http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2021/01/KH412-2.jpg,http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2021/01/KH412-3.jpg",,,,,,,,,0
KH415,simple,FABKH415,Kanchi Half Fine Silk Saree,1,0,visible,KANCHI HALF FINE ALLOVER BROCADE,"Kanchi half fine silk saree model allover zari brocade with meena design border, Body color dark grey blouse color red & rich pallu",,,taxable,,1,,,0,0,,,,,1,,,1650,"Kanchi, Saree",,,"http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2021/01/KH415-1.jpg,http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2021/01/KH415-2.jpg,http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2021/01/KH415-3.jpg",,,,,,,,,0
KH418,simple,FAB KH418,Kanchi Half Fine Silk Saree,1,0,visible,KANCHI HALF FINE ALLOVER BROCADE,"Kanchi half fine silk saree model allover zari brocade with meena design border, Body color yellow blouse color green & rich pallu",,,taxable,,1,,,0,0,,,,,1,,,1650,"Kanchi, Saree",,,"http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2021/01/KH418-1.jpg,http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2021/01/KH418-2.jpg,http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2021/01/KH418-3.jpg",,,,,,,,,0
KH508,simple,FABKH508,Kanchi Half Fine Silk Saree,1,0,visible,KANCHI HALF FINE ALLOVER BROCADE,"Kanchi half fine silk powerloom saree model allover brocade,big border, Body color blue green, Blouse color yellow green mix & rich pallu",,,taxable,,1,,,0,0,,,,,1,,,2500,"Kanchi, Saree",,,"http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2021/01/KH508-1.jpg,http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2021/01/KH508-2.jpg,http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2021/01/KH508-3.jpg",,,,,,,,,0
KH398,simple,FABKH398,Kanchi Half Fine Silk Saree,1,0,visible,KANCHI HALF FINE ALLOVER BUTA,"Kanchi half fine silk saree model allover zari buta with big border, Body color pink Blouse color pink yellow mix & rich pallu",,,taxable,,1,,,0,0,,,,,1,,,2500,"Kanchi, Saree",,,"http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2021/01/KH398-1.jpg,http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2021/01/KH398-2.jpg,http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2021/01/KH398-3.jpg",,,,,,,,,0
KH490,simple,FABKH490,Kanchi Half Fine Silk Saree,1,0,visible,KANCHI HALF FINE ALLOVER ZARI BUTA BROCADE,"Kanchi half fine silk powerloom saree model allover zari buta brocade,khaddi border, Body color grey, Blouse color purple pink & rich pallu",,,taxable,,1,,,0,0,,,,,1,,,2500,"Kanchi, Saree",,,"http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2021/01/KH490-1.jpg,http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2021/01/KH490-2.jpg,http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2021/01/KH490-3.jpg",,,,,,,,,0
KH494,simple,FABKH494,Kanchi Half Fine Silk Saree,1,0,visible,KANCHI HALF FINE ALLOVER ZARI BUTA BROCADE,"Kanchi half fine silk powerloom saree model allover zari buta brocade,khaddi border, Body color blue green, Blouse color green pink mix & rich pallu",,,taxable,,1,,,0,0,,,,,1,,,2500,"Kanchi, Saree",,,"http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2021/01/KH494-1.jpg,http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2021/01/KH494-2.jpg,http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2021/01/KH494-3.jpg",,,,,,,,,0
KH493,simple,FABKH493,Kanchi Half Fine Silk Saree,1,0,visible,KANCHI HALF FINE ALLOVER ZARI BUTA BROCADE,"Kanchi half fine silk powerloom saree model allover zari buta brocade,khaddi border, Body color lime, Blouse color green pink mix & rich pallu",,,taxable,,1,,,0,0,,,,,1,,,2500,"Kanchi, Saree",,,"http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2021/01/KH493-1.jpg,http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2021/01/KH493-2.jpg,http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2021/01/KH493-3.jpg",,,,,,,,,0
KH331,simple,FABKH331,Kanchi Half Fine Silk Saree,1,0,visible,KANCHI HALF FINE ALLOVER THREAD EMBOSE BUTA WITH ZARI BUTA,"Kanchi pattu half fine model allover thread embose buta with zari buta, Body color yellow green mix, Blouse color green blue mix & rich pallu",,,taxable,,1,,,0,0,,,,,1,,,2800,"Kanchi, Saree",,,"http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2021/01/KH331-1.jpg,http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2021/01/KH331-2.jpg,http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2021/01/KH331-3.jpg",,,,,,,,,0
KH399,simple,FABKH399,Kanchi Half Fine Silk Saree,1,0,visible,KANCHI HALF FINE ALLOVER ZARI BUTA BIG BORDER,"Kanchi half fine silk saree model allover zari buta with big border, Body color coffee Blouse color blue & rich pallu",,,taxable,,1,,,0,0,,,,,1,,,2850,"Kanchi, Saree",,,"http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2021/01/KH399-1.jpg,http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2021/01/KH399-2.jpg,http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2021/01/KH399-3.jpg",,,,,,,,,0
KH402,simple,FABKH402,Kanchi Half Fine Silk Saree,1,0,visible,KANCHI HALF FINE ALLOVER ZARI BUTA BIG BORDER,"Kanchi half fine silk saree model allover zari buta with big border, Body color green Blouse color blue & rich pallu",,,taxable,,1,,,0,0,,,,,1,,,2850,"Kanchi, Saree",,,"http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2021/01/KH402-1.jpg,http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2021/01/KH402-2.jpg,http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2021/01/KH402-3.jpg",,,,,,,,,0
BSH510,simple,FABBSH510,Uppada Silk Saree,1,0,visible,UPPADA HALF FINE ALLOVER TISSUE BY PATTU,"Uppada half fine model allover tissue by pattu checks design saree, big border Body color pista green, Blouse color self & lines pallu",,,taxable,,1,,,0,0,,,,,1,,,1350,"Uppada, Saree",,,"http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2021/01/BSH510-1.jpg,http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2021/01/BSH510-2.jpg,http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2021/01/BSH510-3.jpg,http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2021/01/BSH510-4.jpg",,,,,,,,,0
BSH496,simple,FABBSH496,Uppada Silk Saree,1,0,visible,UPPADA HALF FINE PATTU SILVER ZARI BUTA,"Uppada soft silk half fine model allover silver zari animal motifs buta saree, Body color green, Blouse color pink & rich pallu",,,taxable,,1,,,0,0,,,,,1,,,1850,"Uppada, Saree",,,,,,,,,,,,0
BSH497,simple,FABBSH497,Uppada Silk Saree,1,0,visible,UPPADA HALF FINE PATTU SILVER ZARI BUTA,"Uppada soft silk half fine model allover silver zari peacock motifs buta saree, Body color pink, Blouse color blue & rich pallu",,,taxable,,1,,,0,0,,,,,1,,,1850,"Uppada, Saree",,,"http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2021/01/BSH497-1.jpg,http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2021/01/BSH497-2.jpg,http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2021/01/BSH497-3.jpg",,,,,,,,,0
BSH484,simple,FABBSH484,Uppada Silk Saree,1,0,visible,UPPADA HALF FINE PATTU SILVER ZARI BUTA,"Uppada soft silk half fine model allover silver zari animal motifs buta saree, Body color yellow, Blouse color voilet & rich pallu",,,taxable,,1,,,0,0,,,,,1,,,1850,"Uppada, Saree",,,"http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2021/01/BSH484-1.jpg,http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2021/01/BSH484-2.jpg,http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2021/01/BSH484-3.jpg",,,,,,,,,0
US66,simple,FABUS66,Uppada Silk Saree,1,0,visible,UPPADA SICO BORDERLESS,"Uppada Pure Sico powerloom saree model allover thread & zari buta borderless, Body color mehandi green, Blouse color self & rich pallu",,,taxable,,1,,,0,0,,,,,1,,,1850,"Uppada, Saree",,,"http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2021/01/US66-1.jpg,http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2021/01/US66-2.jpg,http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2021/01/US66-3.jpg,http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2021/01/US66-4.jpg",,,,,,,,,0
US67,simple,FABUS67,Uppada Silk Saree,1,0,visible,UPPADA SICO BORDERLESS,"Uppada Pure Sico powerloom saree model allover gold & silver buta borderless, Body color slate blue, Blouse color self & rich pallu",,,taxable,,1,,,0,0,,,,,1,,,1850,"Uppada, Saree",,,"http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2021/01/US67-1.jpg,http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2021/01/US67-2.jpg,http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2021/01/US67-3.jpg,http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2021/01/US67-4.jpg",,,,,,,,,0
US64,simple,FABUS64,Uppada Silk Saree,1,0,visible,UPPADA SICO BORDERLESS,"Uppada Pure Sico powerloom saree model allover thread & zari buta borderless, Body color pista green, Blouse color self & rich pallu",,,taxable,,1,,,0,0,,,,,1,,,1850,"Uppada, Saree",,,"http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2021/01/US64-1.jpg,http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2021/01/US64-2.jpg,http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2021/01/US64-3.jpg,http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2021/01/US64-4.jpg",,,,,,,,,0
BRS62,simple,FABBRS62,Baneras Silk Saree,1,0,visible,BANARAS SOFT HALF FINE LIGHT WEIGHT ALLOVER BROCADE,"Banaras half fine soft silk light weight powerloom model allover brocade design, body color parrot green, Blouse color sea blue & Rich pallu",,,taxable,,1,,,0,0,,,,,1,,,1650,"Banarasi, Saree",,,"http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2021/01/BRS62-1.jpg,http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2021/01/BRS62-2.jpg,http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2021/01/BRS62-3.jpg",,,,,,,,,0
BRS64,simple,FABBRS64,Baneras Silk Saree,1,0,visible,BANARAS SOFT HALF FINE LIGHT WEIGHT ALLOVER BROCADE,"Banaras half fine soft silk light weight powerloom model allover brocade design, body color cream, Blouse color red & Rich pallu",,,taxable,,1,,,0,0,,,,,1,,,1650,"Banarasi, Saree",,,"http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2021/01/BRS64-1.jpg,http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2021/01/BRS64-2.jpg,http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2021/01/BRS64-3.jpg,http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2021/01/BRS64-4.jpg",,,,,,,,,0
BRS60,simple,FABBRS60,Baneras Silk Saree,1,0,visible,BANARAS SOFT HALF FINE LIGHT WEIGHT ALLOVER BROCADE,"Banaras half fine soft silk light weight powerloom model allover brocade design, body color yellow, Blouse color pink & Rich pallu",,,taxable,,1,,,0,0,,,,,1,,,1650,"Banarasi, Saree",,,"http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2021/01/BRS60-1.jpg,http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2021/01/BRS60-2.jpg,http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2021/01/BRS60-3.jpg,http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2021/01/BRS60-4.jpg",,,,,,,,,0
BRS59,simple,FABBRS59,Baneras Silk Saree,1,0,visible,BANARAS SOFT HALF FINE LIGHT WEIGHT ALLOVER BROCADE,"Banaras half fine soft silk light weight powerloom model allover brocade design, body color orange, Blouse color parrot green & Rich pallu",,,taxable,,1,,,0,0,,,,,1,,,2200,"Banarasi, Saree",,,,,,,,,,,,0
BRS22,simple,FABBRS22,Baneras Silk Saree,1,0,visible,BANARAS GEORGETTE STONE WORK SAREE,"anaras georgette silk model allover checks buta & stone work  with big border, body color dark navy blue, Blouse color pink & Rich pallu",,,taxable,,1,,,0,0,,,,,1,,,2500,"Banarasi, Saree",,,"http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2021/01/BRS22-1.jpg,http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2021/01/BRS22-2.jpg,http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2021/01/BRS22-3.jpg,http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2021/01/BRS22-4.jpg",,,,,,,,,0
BRS89,simple,FABBRS89,Baneras Silk Saree,1,0,visible,BANARAS SOFT FABRIC PAITHANI STYLE,"Banaras half fine soft silk model allover paithani design paithani border, body color olive green, Blouse color pink & Rich pallu",,,taxable,,1,,,0,0,,,,,1,,,2800,"Banarasi, Saree",,,"http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2021/01/BRS89-1.jpg,http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2021/01/BRS89-2.jpg,http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2021/01/BRS89-3.jpg,http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2021/01/BRS89-4.jpg",,,,,,,,,0
BRS86,simple,FABBRS86,Baneras Silk Saree,1,0,visible,BANARAS SOFT FABRIC PAITHANI STYLE,"Banaras half fine soft silk model allover paithani design paithani border, body color red, Blouse color dark navy blue & Rich pallu",,,taxable,,1,,,0,0,,,,,1,,,2800,"Banarasi, Saree",,,"http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2021/01/BRS86-1.jpg,http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2021/01/BRS86-2.jpg,http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2021/01/BRS86-3.jpg,http://192.168.1.236/mahisfashionparadise/wp-content/uploads/2021/01/BRS86-4.jpg",,,,,,,,,0
BRS88,simple,FABBRS88,Baneras Silk Saree,1,0,visible,BANARAS SOFT FABRIC PAITHANI STYLE,"Banaras half fine soft silk model allover paithani design paithani border, body color sea blue, Blouse color dark navy blue & Rich pallu",,,taxable,,1,,,0,0,,,,,1,,,2800,"Banarasi, Saree",,,,,,,,,,,,0
